term,slide,chapter,context,flagged,review_reason,subject,year,term_period,unit,validation_status,vocab_confidence,vocab_match_type
Bethlehem,3,1. To the lions! Christians in the Roman Empire,"Christians shared the story of how Jesus was born in a stable, full of animals, in the town of Bethlehem. An angel appeared to some shepherds telling them about Jesus’s birth. The shepherds visited Mary, Joseph and baby Jesus in the stable.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
three wise men,3,1. To the lions! Christians in the Roman Empire,"Today, millions of pictures of these stories exist, all over the world.  Here, you can see a painting from 200 years ago showing an angel telling the shepherds about the birth of Jesus. The second painting is 400 years old. It shows the three wise men offering gifts of gold, frankincense and myrrh to Jesus. Christians shared all these stories, and many more.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
frankincense,3,1. To the lions! Christians in the Roman Empire,"Today, millions of pictures of these stories exist, all over the world.  Here, you can see a painting from 200 years ago showing an angel telling the shepherds about the birth of Jesus. The second painting is 400 years old. It shows the three wise men offering gifts of gold, frankincense and myrrh to Jesus. Christians shared all these stories, and many more.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
myrrh,3,1. To the lions! Christians in the Roman Empire,"Today, millions of pictures of these stories exist, all over the world.  Here, you can see a painting from 200 years ago showing an angel telling the shepherds about the birth of Jesus. The second painting is 400 years old. It shows the three wise men offering gifts of gold, frankincense and myrrh to Jesus. Christians shared all these stories, and many more.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
miracles,4,1. To the lions! Christians in the Roman Empire,"Christians shared their stories of miracles, such as Jesus turning water into wine.  They also shared what they believed about the teachings of Jesus. They shared beliefs about God’s forgiveness and about how to pray and",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
forgiveness,4,1. To the lions! Christians in the Roman Empire,"Christians shared their stories of miracles, such as Jesus turning water into wine.  They also shared what they believed about the teachings of Jesus. They shared beliefs about God’s forgiveness and about how to pray and",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
rose from the dead,4,1. To the lions! Christians in the Roman Empire,"love one another. Christians told the story of Jesus dying on a cross, and their belief that Jesus rose from the dead.  When people converted to Christianity, they were baptised. Christians told the story of how Jesus himself was baptised.  In baptism, the water is a symbol for God’s forgiveness. The water symbolises the washing away of a person’s sins.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
converted,4,1. To the lions! Christians in the Roman Empire,"love one another. Christians told the story of Jesus dying on a cross, and their belief that Jesus rose from the dead.  When people converted to Christianity, they were baptised. Christians told the story of how Jesus himself was baptised.  In baptism, the water is a symbol for God’s forgiveness. The water symbolises the washing away of a person’s sins.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
baptised,4,1. To the lions! Christians in the Roman Empire,"love one another. Christians told the story of Jesus dying on a cross, and their belief that Jesus rose from the dead.  When people converted to Christianity, they were baptised. Christians told the story of how Jesus himself was baptised.  In baptism, the water is a symbol for God’s forgiveness. The water symbolises the washing away of a person’s sins.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
sins,4,1. To the lions! Christians in the Roman Empire,"love one another. Christians told the story of Jesus dying on a cross, and their belief that Jesus rose from the dead.  When people converted to Christianity, they were baptised. Christians told the story of how Jesus himself was baptised.  In baptism, the water is a symbol for God’s forgiveness. The water symbolises the washing away of a person’s sins.",YES,short_term,History,4,Spring2,Christianity in 3 empires,confirmed_with_flag,1.0,exact
persecution,5,1. To the lions! Christians in the Roman Empire,"Yet being a Christian in the Roman empire was not easy.  Do you remember how, in the first century CE, the Emperor Nero blamed Christians for the terrible fire in Rome?  When people are hunted down, imprisoned, tortured or killed because of their beliefs, we call it persecution.  Christians were used to being mocked or laughed at.   Mobs sometimes threw stones at them. But during Nero’s reign, the persecution started to be organised by the Roman government itself.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
persecute,6,1. To the lions! Christians in the Roman Empire,But why did the Romans persecute Christians? There are many reasons!,NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
amphitheatres,6,1. To the lions! Christians in the Roman Empire,"The writer wrote ‘to the lions’ because one way the Romans punished Christians was to let wild animals, such as lions or tigers, attack and kill them. This happened in big amphitheatres such as the Colosseum.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
incense,6,1. To the lions! Christians in the Roman Empire,Christians also refused to burn incense as a religious offering to the Roman emperor. This made them seem disloyal to the emperor.,NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
disloyal,6,1. To the lions! Christians in the Roman Empire,Christians also refused to burn incense as a religious offering to the Roman emperor. This made them seem disloyal to the emperor.,NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
suspicious,6,1. To the lions! Christians in the Roman Empire,This made the Romans suspicious. They thought that the Christians must be secretly plotting a rebellion.,NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
memorial,7,1. To the lions! Christians in the Roman Empire,"Christians were persecuted all over the Roman empire, not just in Rome. Look at the remains of this amphitheatre in the city of Lyon, in the Roman province of Gaul.  The pole in the corner is a memorial to all the Christians killed during the persecution.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
martyrs,8,1. To the lions! Christians in the Roman Empire,"Here is another memorial in Lyon – a stained-glass window. The window shows a female Christian who had been thrown to the lions and other wild beasts.  When this kind of persecution happens, believers who are killed for their faith are called martyrs.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
huge,8,1. To the lions! Christians in the Roman Empire,Now a huge change was on its way …,YES,short_term,History,4,Spring2,Christianity in 3 empires,high_priority_review,0.0,none
official religion,9,2. Emperor Constantine makes big changes,"We also know that in the middle of fourth century, the bishop of Rome was no longer in danger.  And not only that… from around the middle of the fourth century, Christians throughout the Roman empire started to look to the bishop of Rome as their special leader, as the most important bishop.  How on earth did this change happen?  How did Christians go from being persecuted to being part of Rome’s official religion?  Let us find out.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Constantine,10,2. Emperor Constantine makes big changes,"In the year 310, a man named Constantine (con-stan-tyne) became the emperor of Rome.  Constantine had grown up worshipping Roman gods and goddesses.  But at some point, he changed. We really do not know exactly what happened, but this is one story that is often told.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
rivals,10,2. Emperor Constantine makes big changes,"Before taking full power as emperor, Constantine fought many battles. He had to defeat rivals. On the night before leading his army into one battle, Constantine is said to have had a vision. A vision is something like a dream or a strange experience of seeing something when you are awake, that is very hard to explain. According to Constantine, a light shaped like a cross appeared in the sky, together with some words: ‘In this sign you will conquer’.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
vision,10,2. Emperor Constantine makes big changes,"Before taking full power as emperor, Constantine fought many battles. He had to defeat rivals. On the night before leading his army into one battle, Constantine is said to have had a vision. A vision is something like a dream or a strange experience of seeing something when you are awake, that is very hard to explain. According to Constantine, a light shaped like a cross appeared in the sky, together with some words: ‘In this sign you will conquer’.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Byzantium,11,2. Emperor Constantine makes big changes,The Emperor Constantine divided his empire into two halves: an Eastern half and a Western half. The Emperor Constantine wanted a 'new Rome’ in the East so that he could be closer to Rome’s eastern provinces.  Constantine chose an ancient Greek town called Byzantium (bizz-an-tee-um). This would become an imperial city in the East. This is why the Eastern half of the Roman empire was later called the Byzantine (bizz-an-tyne) Empire.,NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Byzantine,11,2. Emperor Constantine makes big changes,The Emperor Constantine divided his empire into two halves: an Eastern half and a Western half. The Emperor Constantine wanted a 'new Rome’ in the East so that he could be closer to Rome’s eastern provinces.  Constantine chose an ancient Greek town called Byzantium (bizz-an-tee-um). This would become an imperial city in the East. This is why the Eastern half of the Roman empire was later called the Byzantine (bizz-an-tyne) Empire.,NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
Empire,11,2. Emperor Constantine makes big changes,The Emperor Constantine divided his empire into two halves: an Eastern half and a Western half. The Emperor Constantine wanted a 'new Rome’ in the East so that he could be closer to Rome’s eastern provinces.  Constantine chose an ancient Greek town called Byzantium (bizz-an-tee-um). This would become an imperial city in the East. This is why the Eastern half of the Roman empire was later called the Byzantine (bizz-an-tyne) Empire.,NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
Constantinople,12,2. Emperor Constantine makes big changes,"The city of Byzantium became known as Constantinople (con-stan-te-no-pull). Constantinople means ‘the city of Constantine’ in Greek. Find Constantinople on the map on Page 11. Constantinople sat on a long water passage between the Black Sea and the Mediterranean Sea. Her position allowed her to connect two continents – Europe and Asia. The city had pleasant weather, good soil and a safe harbour. All these things made Constantinople the perfect centre for trade.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
harbour,12,2. Emperor Constantine makes big changes,"The city of Byzantium became known as Constantinople (con-stan-te-no-pull). Constantinople means ‘the city of Constantine’ in Greek. Find Constantinople on the map on Page 11. Constantinople sat on a long water passage between the Black Sea and the Mediterranean Sea. Her position allowed her to connect two continents – Europe and Asia. The city had pleasant weather, good soil and a safe harbour. All these things made Constantinople the perfect centre for trade.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
culture,12,2. Emperor Constantine makes big changes,"The peoples of the Byzantine Empire blended Roman culture with Greek and Asian cultures. Here, the language, art and ideas of the Romans met the language, art and ideas of the peoples who lived in the Eastern Mediterranean and in Asia.   No wonder Constantinople became",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
cultures,12,2. Emperor Constantine makes big changes,"The peoples of the Byzantine Empire blended Roman culture with Greek and Asian cultures. Here, the language, art and ideas of the Romans met the language, art and ideas of the peoples who lived in the Eastern Mediterranean and in Asia.   No wonder Constantinople became",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
mosaic,12,2. Emperor Constantine makes big changes,"This is a Byzantine mosaic. A mosaic is made from thousands of tiny pieces of glass, jewels, stone or metal. This mosaic shows Constantine offering his city to God as a gift. He is presenting Constantinople as an offering.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
borders,13,3.  The Byzantine Empire carries on,"Meanwhile, the surrounding tribes grew bolder and more skilful at attacking empire’s frontiers. This map shows the peoples that kept attacking the empire’s borders. Can you find the Goths, the Huns, the Visigoths, the Vandals, the Franks, the Angles and the Saxons? As you can see, it was much safer for the Roman government to be in Constantinople!",NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
Goths,13,3.  The Byzantine Empire carries on,"Meanwhile, the surrounding tribes grew bolder and more skilful at attacking empire’s frontiers. This map shows the peoples that kept attacking the empire’s borders. Can you find the Goths, the Huns, the Visigoths, the Vandals, the Franks, the Angles and the Saxons? As you can see, it was much safer for the Roman government to be in Constantinople!",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Huns,13,3.  The Byzantine Empire carries on,"Meanwhile, the surrounding tribes grew bolder and more skilful at attacking empire’s frontiers. This map shows the peoples that kept attacking the empire’s borders. Can you find the Goths, the Huns, the Visigoths, the Vandals, the Franks, the Angles and the Saxons? As you can see, it was much safer for the Roman government to be in Constantinople!",YES,short_term,History,4,Spring2,Christianity in 3 empires,confirmed_with_flag,1.0,exact
Visigoths,13,3.  The Byzantine Empire carries on,"Meanwhile, the surrounding tribes grew bolder and more skilful at attacking empire’s frontiers. This map shows the peoples that kept attacking the empire’s borders. Can you find the Goths, the Huns, the Visigoths, the Vandals, the Franks, the Angles and the Saxons? As you can see, it was much safer for the Roman government to be in Constantinople!",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
sacked,13,3.  The Byzantine Empire carries on,"In 410, Alaric the Goth led an attack on the city of Rome itself.  The city of Rome was sacked.  This was followed by other attacks. The Vandals sacked Rome in 455.      Many an artist has imagined what these attacks on",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
marble,14,3.  The Byzantine Empire carries on,"Constantine filled his city with fine public buildings, statues and churches. He and later Byzantine emperors also took marble columns, coloured tiles and even doors from temples and palaces in the west. Great works of Greek and Roman art ended up in Constantinople’s streets. At the top of Page 15, you see what Constantinople looked like in the time of Constantine.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
hippodrome,15,3.  The Byzantine Empire carries on,"Constantine built a beautiful new palace.   Next to the palace, he built a hippodrome.  A hippodrome is a vast stadium for races. The hippodrome in Constantinople seated 80,000 spectators.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
stadium,15,3.  The Byzantine Empire carries on,"Constantine built a beautiful new palace.   Next to the palace, he built a hippodrome.  A hippodrome is a vast stadium for races. The hippodrome in Constantinople seated 80,000 spectators.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Justinian,16,3.  The Byzantine Empire carries on,"In the sixth century, a famous Byzantine emperor reigned for forty years. His name was Justinian (juss-tin-ee-un). Justinian ruled from 527 to 565.  Justinian is very famous because what he did has influenced our laws right down to today.  Justinian took all the laws of the Romans and organised them into ten books of law.  These books are called the Justinian code.  Some laws in the",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
code,16,3.  The Byzantine Empire carries on,"In the sixth century, a famous Byzantine emperor reigned for forty years. His name was Justinian (juss-tin-ee-un). Justinian ruled from 527 to 565.  Justinian is very famous because what he did has influenced our laws right down to today.  Justinian took all the laws of the Romans and organised them into ten books of law.  These books are called the Justinian code.  Some laws in the",YES,short_term,History,4,Spring2,Christianity in 3 empires,confirmed_with_flag,1.0,exact
innocent,16,3.  The Byzantine Empire carries on,A person is innocent until proven guilty.,NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Law courts,16,3.  The Byzantine Empire carries on,Law courts must consider a person’s rights.,NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
rights,16,3.  The Byzantine Empire carries on,Law courts must consider a person’s rights.,NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Empress Theodora,17,3.  The Byzantine Empire carries on,"Here is another Byzantine mosaic. This one shows the Empress Theodora, Justinian’s wife.   Empress Theodora is shown with the people of her court all around her.  She has a halo (hay-loh) around her head to show her connection with God.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
court,17,3.  The Byzantine Empire carries on,"Here is another Byzantine mosaic. This one shows the Empress Theodora, Justinian’s wife.   Empress Theodora is shown with the people of her court all around her.  She has a halo (hay-loh) around her head to show her connection with God.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
halo,17,3.  The Byzantine Empire carries on,"Here is another Byzantine mosaic. This one shows the Empress Theodora, Justinian’s wife.   Empress Theodora is shown with the people of her court all around her.  She has a halo (hay-loh) around her head to show her connection with God.",YES,short_term,History,4,Spring2,Christianity in 3 empires,confirmed_with_flag,1.0,exact
baptismal font,17,3.  The Byzantine Empire carries on,"The mosaic is full of gold. In Byzantine art, bright gold is a symbol for Jesus because Christians believed Jesus was the ‘light of the world’.   What other signs can you see of Christianity in the mosaic? Can you find the three wise men on Theodora’s robe?   Can you find the baptismal font?",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Aksum,18,4. An African empire: Aksum,You already know about one ancient civilisation in north Africa – ancient Egypt. Now we are going further into Africa – to the empire of Aksum (ack-soom). You are going to learn what happened in Aksum in the early fourth century. This is exactly the same time as Constantine was ending the persecution of Christians in Rome and founding Constantinople.,NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
plateau,18,4. An African empire: Aksum,"The ancient kingdom of Aksum had grown up on a high, rocky plateau (plat-oh).  The people of Aksum had found a clever way of farming this very hilly land. They built big steps, such as the ones you can see here. We call these steps terraces. The terraces stopped soil from being washed down the mountain by the rain.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
terraces,18,4. An African empire: Aksum,"The ancient kingdom of Aksum had grown up on a high, rocky plateau (plat-oh).  The people of Aksum had found a clever way of farming this very hilly land. They built big steps, such as the ones you can see here. We call these steps terraces. The terraces stopped soil from being washed down the mountain by the rain.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
lowlands,19,4. An African empire: Aksum,"Now let’s go further south still, to the lowlands of the Aksum empire.  Find the triangle of low-lying land on the map, just to the east of the city of Aksum.  Here we would find ourselves in one of the hottest places on earth!",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Adulis,20,4. An African empire: Aksum,"Now let’s head for the coast, to the Red Sea, and the port of Adulis (a-doo-liss). Let’s imagine that we are near the harbour, at midday, on a hot day in 300 CE. Imagine that we are there, right now. Our long, flowing clothes are protecting us from the heat of the sun.  What can we see? What will we hear? All along the shore we see the storehouses of great merchants. In the streets of Adulis, mules and donkeys nod sleepily in the heat. Most people are keeping cool indoors. White buildings dazzle us. Their white stone burns to the touch. The sun’s glare is harsh. Only the sea breeze cools us.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
caravan,20,4. An African empire: Aksum,"Suddenly, we hear a noise!  A caravan of camels is approaching! The camels are laden with goods. Merchants call their workers. Masters prod their slaves. It’s time to be busy!  It’s time to load the ships with goods from all over Aksum.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
laden,20,4. An African empire: Aksum,"Suddenly, we hear a noise!  A caravan of camels is approaching! The camels are laden with goods. Merchants call their workers. Masters prod their slaves. It’s time to be busy!  It’s time to load the ships with goods from all over Aksum.",NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
export,20,4. An African empire: Aksum,"What goods will the Aksum merchants send abroad?  They will export gold, perfumes and salt. They will export slaves. They will export ivory.  Much further inland, hunters have killed elephants for their ivory tusks. They have killed rhinoceroses for their horns.  Ivory and horn have made Aksum rich.  The ivory will be sold in the Mediterranean, in Syria, in Egypt and in Arabia.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
ivory,20,4. An African empire: Aksum,"What goods will the Aksum merchants send abroad?  They will export gold, perfumes and salt. They will export slaves. They will export ivory.  Much further inland, hunters have killed elephants for their ivory tusks. They have killed rhinoceroses for their horns.  Ivory and horn have made Aksum rich.  The ivory will be sold in the Mediterranean, in Syria, in Egypt and in Arabia.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
tusks,20,4. An African empire: Aksum,"What goods will the Aksum merchants send abroad?  They will export gold, perfumes and salt. They will export slaves. They will export ivory.  Much further inland, hunters have killed elephants for their ivory tusks. They have killed rhinoceroses for their horns.  Ivory and horn have made Aksum rich.  The ivory will be sold in the Mediterranean, in Syria, in Egypt and in Arabia.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
perfumes,21,4. An African empire: Aksum,"Along with sacks of wheat and barley, these goods will be loaded onto ships heading across the Red Sea to Arabia. The fine perfumes will be sold in the perfume markets of the Yemen (yeh-men). (Can you find Yemen on the map on Page 19?) Ivory and gold will reach places even further away. They might reach Egypt and the great cities of the Mediterranean such as Rome. They might reach Syria, Persia, India and the shores of the Arabian Sea.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Yemen,21,4. An African empire: Aksum,"Along with sacks of wheat and barley, these goods will be loaded onto ships heading across the Red Sea to Arabia. The fine perfumes will be sold in the perfume markets of the Yemen (yeh-men). (Can you find Yemen on the map on Page 19?) Ivory and gold will reach places even further away. They might reach Egypt and the great cities of the Mediterranean such as Rome. They might reach Syria, Persia, India and the shores of the Arabian Sea.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
mints,21,4. An African empire: Aksum,"Now imagine looking into the hands of the merchants, shipowners and sailors.  What are they holding? What are they giving to each other? They are holding coins. The king of Aksum mints bronze, silver and gold coins, just like the great trading empires of Persia, China and Rome.  These coins are accepted by traders from thousands of miles away.  All the merchants are familiar with these coins. The rulers of Aksum were among the first in the world to mint their own coins.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
state,23,4. An African empire: Aksum,"The bustling ports, rich trade and early coins are not the only remarkable things about Aksum. Aksum was also the first Christian state in the world.  This means that Aksum was the first place to have a ruler who made Christianity an official religion.  You already know that the Emperor Constantine did this, in the early fourth century, in the Roman Empire.  A similar thing happened at the same time in Aksum.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Ethiopia,23,4. An African empire: Aksum,"Aksum later became known as Ethiopia. Today, the Christians of Ethiopia keep these Christian traditions. Ethiopian Christians preserve and enjoy the buildings, art and traditions begun by the first Christians in Aksum.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
perilous,25,5. A high and holy place,"Here they are on the other side of the rock. They have just a little further to go, until they reach a small door in the side of the rock. In order to reach that door, they must walk along a ledge, just 50 centimetres wide. To their left, lies a perilous drop of 200 metres. Can you find them? Can you find the door?",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
hewn,26,5. A high and holy place,"Once inside the church, we understand why so many Christian worshippers and visitors brave the dizzy climb. Here is a church that has not been built at all.   It has been hewn out of solid rock.",YES,short_term,History,4,Spring2,Christianity in 3 empires,high_priority_review,0.0,none
saints,27,5. A high and holy place,"Inside, we find pictures telling Christian stories. Find Mary and Jesus on the pillar. On the ceiling are nine saints who are important to Ethiopian Christians.",NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
sacred,28,5. A high and holy place,"Twenty priests look after this church. Here is a precious, ancient bible that the priests keep in the church. Many parents bring their babies to be baptised here because they consider this church to be very holy.   For Christians it is a sacred place.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
rock-hewn,28,5. A high and holy place,"If you go to Ethiopia today, you will find hundreds of rock-hewn churches.  On the next page, you can see a wonderful view from the inside of another one.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
shipwreck,30,6. How Aksum became a Christian state,"Early in the fourth century, a merchant from Syria was on his way back from trading in India. He had two boys with him. One day, a terrible storm blew up. In the rough waters, the ship was wrecked.  Many drowned.  The Syrian merchant died in the shipwreck. Somehow, the two boys survived.  When they reached the shores of Aksum, they were captured and taken to the court of the king.  The king made sure the two boys were looked after and gave them work. One of the boys had the name Frumentius (froo-men-tee-uss).",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Ezana,30,6. How Aksum became a Christian state,"Now at this time, the king had a young son, called Ezana (ezz-ar-nah). Ezana loved to listen to stories that the boys told. When the king died, the queen (Ezana’s mother) ruled the kingdom until Ezana was old enough to take on a king’s duties.  Ezana’s mother found the two boys clever and useful.  Frumentius even became the young Ezana’s tutor. Ezana clearly took in all the Christian stories he was hearing. By the time Ezana was old enough to take over as king, he had converted to Christianity.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
bishop,31,6. How Aksum became a Christian state,"Once he became king, Ezana decided that Aksum should have its own bishop to lead all the Aksum Christians. So Ezana sent Frumentius north to Alexandria in Egypt, to meet the patriarch (pay-tree-arc), who was the leader of other Christians in Africa. Ezana wanted the patriarch to send the people of Aksum a bishop. But who did the patriarch choose as Aksum’s first bishop?",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
patriarch,31,6. How Aksum became a Christian state,"Once he became king, Ezana decided that Aksum should have its own bishop to lead all the Aksum Christians. So Ezana sent Frumentius north to Alexandria in Egypt, to meet the patriarch (pay-tree-arc), who was the leader of other Christians in Africa. Ezana wanted the patriarch to send the people of Aksum a bishop. But who did the patriarch choose as Aksum’s first bishop?",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Ezana,31,6. How Aksum became a Christian state,The Ezana stone,YES,potential_heading,History,4,Spring2,Christianity in 3 empires,confirmed_with_flag,1.0,exact
stone,31,6. How Aksum became a Christian state,The Ezana stone,YES,potential_heading,History,4,Spring2,Christianity in 3 empires,high_priority_review,0.0,none
erected,31,6. How Aksum became a Christian state,"In about 330 CE, King Ezana led his army north and conquered more land. He erected this stone. It is known as the Ezana stone.  The inscription on the stone tells the story of Ezana’s conversion to Christianity and his conquests of new land.  Find the Ezana stone on the next page.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Ezana’s,33,6. How Aksum became a Christian state,Ezana’s stela,YES,potential_heading,History,4,Spring2,Christianity in 3 empires,high_priority_review,0.0,none
stela,33,6. How Aksum became a Christian state,Ezana’s stela,YES,potential_heading,History,4,Spring2,Christianity in 3 empires,confirmed_with_flag,1.0,exact
stela,33,6. How Aksum became a Christian state,"This tall piece of stone is known as a stela (stella). In the kingdom of Aksum, rulers often erected these tall monuments. They celebrated the achievements of Aksum. Each stela is carved from a single piece of stone!",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Coins showing Christian symbols,34,6. How Aksum became a Christian state,Coins showing Christian symbols,NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
The discovery of an early fourth-century church,35,6. How Aksum became a Christian state,The discovery of an early fourth-century church,NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
Professor,35,6. How Aksum became a Christian state,"This is Professor Woldekiros.  She is an archaeologist.  The professor and her team found this ancient building in between Adulis and the city of Aksum.  It is the remains of a Christian church, but it is shaped just like a Roman basilica!  One inscription reads, ‘Christ protect us’.  Professor Woldekiros says that this discovery gives us evidence that Christians were encouraged to build churches at the time of Ezana. It also shows that the Christians of Aksum had contact with Roman Christians.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Ethiopian Orthodox Church,36,6. How Aksum became a Christian state,The traditions of Ethiopian Christianity are kept alive today. The Church to which most Ethiopian Christians belong today is called the Ethiopian Orthodox Church. This man is in charge. He is the patriarch of the Ethiopian Orthodox Church.,NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
Roman Catholic Church,37,6. How Aksum became a Christian state,"In this booklet you have learned about religion in ancient empires. Empires never last!  But sometimes religions, and their traditions and beliefs, do last.   The Roman Empire fell in the fifth century. But many of the Christian traditions that grew up there became the Roman Catholic Church. The bishop of Rome became known as the Pope. The Byzantine Empire fell in the fifteenth century, but the church of Constantine and Justinian lasted. It is called the Greek Orthodox Church. The empire of Aksum fell in the ninth century, but the Ethiopian Orthodox Church continues to this day.",NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
Pope,37,6. How Aksum became a Christian state,"In this booklet you have learned about religion in ancient empires. Empires never last!  But sometimes religions, and their traditions and beliefs, do last.   The Roman Empire fell in the fifth century. But many of the Christian traditions that grew up there became the Roman Catholic Church. The bishop of Rome became known as the Pope. The Byzantine Empire fell in the fifteenth century, but the church of Constantine and Justinian lasted. It is called the Greek Orthodox Church. The empire of Aksum fell in the ninth century, but the Ethiopian Orthodox Church continues to this day.",YES,short_term,History,4,Spring2,Christianity in 3 empires,high_priority_review,0.0,none
Greek Orthodox Church,37,6. How Aksum became a Christian state,"In this booklet you have learned about religion in ancient empires. Empires never last!  But sometimes religions, and their traditions and beliefs, do last.   The Roman Empire fell in the fifth century. But many of the Christian traditions that grew up there became the Roman Catholic Church. The bishop of Rome became known as the Pope. The Byzantine Empire fell in the fifteenth century, but the church of Constantine and Justinian lasted. It is called the Greek Orthodox Church. The empire of Aksum fell in the ninth century, but the Ethiopian Orthodox Church continues to this day.",NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
epiphany,37,6. How Aksum became a Christian state,"This photograph shows Ethiopian Christians celebrating a special day called epiphany (ee-piff-a-nee).   During epiphany, Christians all over the world celebrate the three wise men’s visit to Jesus.",NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
